DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
2020-04-17 00:01:11,B32816,298.0,-22.81774,-43.39351,0.0
2020-04-17 00:01:58,D87361,891.0,-22.91858,-43.60739,0.0
2020-04-17 00:06:51,B32725,298.0,-22.81622,-43.39461,0.0
2020-04-17 00:09:17,D87031,896.0,-22.917920000000002,-43.607659999999996,0.0
2020-04-17 00:10:16,D87060,896.0,-22.91855,-43.60759,0.0
2020-04-17 00:14:23,D53649,759.0,-22.88338,-43.495309999999996,0.0
2020-04-17 00:17:29,D87294,898.0,-22.917920000000002,-43.60777,0.0
2020-04-17 00:17:58,B32678,342.0,-22.81706,-43.394040000000004,0.0
2020-04-17 00:22:32,D87283,896.0,-22.91862,-43.60789000000001,0.0
2020-04-17 00:42:38,D87134,821.0,-22.91776,-43.6084,0.0
2020-04-17 00:50:18,B44599,685.0,-22.860870000000002,-43.35619000000001,0.0
2020-04-17 00:57:45,D12163,SV2333,-22.89535,-43.561009999999996,0.0
2020-04-17 01:07:37,B44642,685.0,-22.860670000000002,-43.356429999999996,0.0
2020-04-17 01:23:53,D53524,393.0,-22.88413,-43.495129999999996,2.0
2020-04-17 01:26:12,C44607,712.0,-22.86038,-43.356429999999996,0.0
2020-04-17 01:39:25,47031.0,10.0,-23.00065,-43.36721,2.0
2020-04-17 02:03:44,B44540,638.0,-22.8611,-43.35563,0.0
2020-04-17 02:04:50,A29018,476.0,-22.86811,-43.292559999999995,0.0
2020-04-17 02:36:40,86813.0,11N,-22.89492000000001,-43.53247,0.0
2020-04-17 02:36:53,86808.0,11N,-22.89422,-43.534420000000004,49.0
2020-04-17 02:37:57,B28572,324.0,-22.81485,-43.18858,0.0
2020-04-17 02:40:57,D53915,2310.0,-22.88399,-43.496140000000004,0.0
2020-04-17 02:41:11,D86146,838.0,-22.895,-43.5335,0.0
2020-04-17 02:41:16,D53925,2310.0,-22.88352,-43.49577,0.0
2020-04-17 02:41:21,D86406,864.0,-22.893929999999997,-43.5321,0.0
2020-04-17 02:41:24,D86063,864.0,-22.89431,-43.53389,0.0
2020-04-17 02:41:59,D53541,,-22.88345,-43.495670000000004,0.0
2020-04-17 02:42:04,B28564,321.0,-22.81467,-43.18867,0.0
2020-04-17 02:42:27,D86051,838.0,-22.8953,-43.53358,0.0
2020-04-17 02:42:42,D53704,819.0,-22.88365,-43.49489000000001,0.0
2020-04-17 02:43:01,D86401,864.0,-22.89492000000001,-43.53373,0.0
2020-04-17 02:43:02,C82579,363.0,-22.85961,-43.37086,0.0
2020-04-17 02:43:05,D53675,397.0,-22.88404,-43.49516,0.0
2020-04-17 02:43:12,D53679,846.0,-22.88423,-43.49592,0.0
2020-04-17 02:43:16,B31091,497.0,-22.80432,-43.31129,0.0
2020-04-17 02:43:44,D86715,2804.0,-22.89347,-43.53183,0.0
2020-04-17 02:43:49,D53606,,-22.86824,-43.2571,0.0
2020-04-17 02:43:51,D86257,864.0,-22.89511,-43.53305,0.0
2020-04-17 02:43:53,B28573,324.0,-22.81606,-43.18819000000001,0.0
2020-04-17 02:44:11,D86323,918.0,-22.89441,-43.53277,0.0
2020-04-17 02:44:16,D86199,864.0,-22.89453,-43.533559999999994,0.0
2020-04-17 02:44:19,D86329,866.0,-22.89528,-43.53284,0.0
2020-04-17 02:44:43,D86713,2338.0,-22.89332000000001,-43.53196,0.0
2020-04-17 02:44:51,D53698,786.0,-22.88338,-43.49608,0.0
2020-04-17 02:44:58,B31002,497.0,-22.80472,-43.31001,0.0
2020-04-17 02:45:03,D86384,884.0,-22.89433,-43.53303,0.0
2020-04-17 02:45:05,D53544,759.0,-22.88422000000001,-43.49477,0.0
2020-04-17 02:45:05,D86710,2332.0,-22.89385,-43.532379999999996,0.0
2020-04-17 02:45:05,C44667,712.0,-22.86027,-43.35625,0.0
2020-04-17 02:45:18,D86325,838.0,-22.89464,-43.53295,0.0
2020-04-17 02:45:23,D86400,864.0,-22.89453,-43.53357000000001,0.0
2020-04-17 02:46:03,D86318,864.0,-22.89467,-43.53362,0.0
