DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
2020-04-14 00:58:58,D86190,864.0,-22.89465,-43.53257,0.0
2020-04-14 01:25:17,12703.0,38N,-22.9593,-43.395270000000004,5.0
2020-04-14 01:43:42,B28622,329.0,-22.81489,-43.18868,0.0
2020-04-14 01:45:38,D86402,864.0,-22.895120000000002,-43.53365,0.0
2020-04-14 02:10:58,D86404,864.0,-22.895039999999998,-43.53286,0.0
2020-04-14 03:13:24,A29040,461.0,-22.86816,-43.29268,0.0
2020-04-14 03:29:26,A29152,SV474,-22.86798,-43.29195,0.0
2020-04-14 03:35:43,A29022,476.0,-22.86833,-43.292770000000004,0.0
2020-04-14 03:57:47,A41031,460.0,-22.8753,-43.24215,0.0
2020-04-14 04:00:21,B28743,2344.0,-22.816,-43.18949,0.0
2020-04-14 04:10:51,A72162,6.0,-22.889429999999997,-43.29238,0.0
2020-04-14 04:17:35,B42511,457.0,-22.87652000000001,-43.32998,0.0
2020-04-14 04:20:01,B63108,919.0,-22.79282000000001,-43.29448,0.0
2020-04-14 04:24:54,A29179,209.0,-22.86823,-43.29249,0.0
2020-04-14 04:58:44,B44521,265.0,-22.860670000000002,-43.35699,0.0
2020-04-14 05:05:25,D86728,2381.0,-22.89401,-43.53327,0.0
2020-04-14 05:14:12,B28597,329.0,-22.81481,-43.18855,0.0
2020-04-14 05:17:15,B28624,324.0,-22.81486,-43.18884,0.0
2020-04-14 05:28:47,D12157,2337.0,-22.97358,-43.18607,51.0
2020-04-14 05:41:31,D87740,2336.0,-22.85538,-43.49069,33.0
2020-04-14 05:42:46,C30289,565.0,-22.97135,-43.33605,30.0
2020-04-14 05:57:32,B28540,321.0,-22.790789999999998,-43.18091,0.0
2020-04-14 05:57:36,A29014,471.0,-22.86867,-43.291579999999996,0.0
2020-04-14 05:58:15,D86274,864.0,-22.89455,-43.53264,0.0
2020-04-14 06:02:15,B44535,638.0,-22.86036,-43.35585,0.0
2020-04-14 06:09:11,A48108,112.0,-22.958660000000002,-43.20476,41.0
2020-04-14 06:09:18,D13399,801.0,-22.87631,-43.41939,0.0
2020-04-14 06:10:39,C47503,306.0,-22.87963,-43.35682,0.0
2020-04-14 06:20:23,B32705,298.0,-22.81504,-43.38692,0.0
2020-04-14 06:44:57,D17168,809.0,-22.91787,-43.60771,0.0
2020-04-14 06:51:35,D87766,2336.0,-22.917370000000002,-43.60767,0.0
2020-04-14 06:52:22,D87884,2336.0,-22.91705,-43.60835,0.0
2020-04-14 06:53:56,D13307,SV790,-22.8812,-43.32527,6.0
2020-04-14 06:59:11,D87791,2339.0,-22.91656,-43.60791,0.0
2020-04-14 07:01:50,A50226,448.0,-22.92896,-43.25416,0.0
2020-04-14 07:12:42,D13246,383.0,-22.8765,-43.41986,0.0
2020-04-14 07:23:43,C30003,876.0,-22.95057000000001,-43.34806,0.0
2020-04-14 07:34:13,D13107,936.0,-22.88435,-43.55279,3.0
2020-04-14 07:40:06,D13216,803.0,-22.91645,-43.63135,53.0
2020-04-14 07:42:26,D13294,756.0,-22.88306,-43.552440000000004,0.0
2020-04-14 07:46:45,C30246,991.0,-22.950329999999997,-43.34787,0.0
2020-04-14 07:52:10,D13324,731.0,-22.88308,-43.55256,3.0
2020-04-14 07:55:01,B25602,232.0,-22.90202,-43.29853,0.0
2020-04-14 08:05:47,D87875,2336.0,-22.917170000000002,-43.60802,0.0
2020-04-14 08:08:33,12718.0,51.0,-22.92911,-43.39539,34.0
